detected_tool,fraction,ready,request_index,source,step,text
,0.0,False,0,dllm,0,
flight_search,0.1111111111111111,False,0,dllm,1,"TOOL: flight_search
: originFO"
flight_search,0.2222222222222222,False,0,dllm,2,"TOOL: flight_search
ARGS: origin ""SFO destinationSeoul"
flight_search,0.3333333333333333,False,0,dllm,3,"TOOL: flight_search
ARGS: origin ""SFO destination ""Seoul""; date ""--"
flight_search,0.4444444444444444,False,0,dllm,4,"TOOL: flight_search
ARGS: origin ""SFO""; destination ""Seoul""; date ""2026-09-1"
flight_search,0.5555555555555556,False,0,dllm,5,"TOOL: flight_search
ARGS: origin = ""SFO""; destination ""Seoul""; date ""2026-09-1"
flight_search,0.6666666666666666,False,0,dllm,6,"TOOL: flight_search
ARGS: origin = ""SFO""; destination = ""Seoul""; date = ""2026-09-1"
flight_search,0.7777777777777778,False,0,dllm,7,"TOOL: flight_search
ARGS: origin = ""SFO""; destination = ""Seoul""; date = ""2026-09-14"""
flight_search,0.8888888888888888,False,0,dllm,8,"TOOL: flight_search
ARGS: origin = ""SFO""; destination = ""Seoul""; date = ""2026-09-14"""
flight_search,1.0,False,0,dllm,9,"TOOL: flight_search
ARGS: origin = ""SFO""; destination = ""Seoul""; date = ""2026-09-14"""
,0.0,False,0,ar_prefix,0,
,0.1111111111111111,False,0,ar_prefix,1,TOOL: flig
flight_search,0.2222222222222222,False,0,ar_prefix,2,TOOL: flight_search
flight_search,0.3333333333333333,False,0,ar_prefix,3,"TOOL: flight_search
ARGS: or"
flight_search,0.4444444444444444,False,0,ar_prefix,4,"TOOL: flight_search
ARGS: origin = ""SF"
flight_search,0.5555555555555556,False,0,ar_prefix,5,"TOOL: flight_search
ARGS: origin = ""SFO""; desti"
flight_search,0.6666666666666666,False,0,ar_prefix,6,"TOOL: flight_search
ARGS: origin = ""SFO""; destination = "
flight_search,0.7777777777777778,False,0,ar_prefix,7,"TOOL: flight_search
ARGS: origin = ""SFO""; destination = ""Seoul""; d"
flight_search,0.8888888888888888,False,0,ar_prefix,8,"TOOL: flight_search
ARGS: origin = ""SFO""; destination = ""Seoul""; date = ""20"
flight_search,1.0,False,0,ar_prefix,9,"TOOL: flight_search
ARGS: origin = ""SFO""; destination = ""Seoul""; date = ""2026-09-14"""
,0.0,False,1,dllm,0,
weather,0.14285714285714285,False,1,dllm,1,"TOOL: weather
:"
