admission_ms,admission_wait_ms,arrival_ms,completion_ms,first_start_ms,latency_ms,policy,refine_wait_ms,refresh_wait_ms,rejected,request_id,service_ms,slo_deadline_ms
0.0,0.0,0.0,2810.2370650254106,0.0,2810.2370650254106,admit_all_memory_gated,72.00447650393471,238.73680913267208,False,0,2499.495779388804,45000.0
701.2235635484103,21.183372031876274,680.040191516534,3472.150523770814,701.2235635484103,2792.11033225428,admit_all_memory_gated,0.0,47.747361826534416,False,1,2723.179598395869,45680.040191516535
701.2235635484103,4.2974793367170605,696.9260842116933,4782.526440847104,701.2235635484103,4085.6003566354107,admit_all_memory_gated,0.0,1358.1232789028288,False,2,2723.179598395869,45696.92608421169
916.470125531948,5.127998603611104,911.3421269283369,4782.526440847104,1465.5647865370936,3871.1843139187667,admit_all_memory_gated,0.0,1197.557119336037,False,3,2668.499195979123,45911.342126928335
1131.3332537513527,51.60033637627339,1079.7329173750793,4782.526440847104,1465.5647865370936,3702.7935234720244,admit_all_memory_gated,0.0,982.6939911166323,False,4,2668.499195979123,46079.73291737508
2006.4192415518899,37.624542304755096,1968.7946992471348,6871.155901319368,2161.774606694519,4902.361202072234,admit_all_memory_gated,110.4224417504156,2079.7583822064353,False,5,2674.5558358106364,46968.79469924713
2756.433063367363,34.85635825449981,2721.5767051128632,7533.069360064767,2810.2370650254106,4811.492654951904,admit_all_memory_gated,110.4224417504156,1978.2070187218533,False,6,2688.006836225148,47721.576705112864
4244.486424266633,38.05098611951598,4206.435438147117,10863.482014789273,4782.526440847104,6657.046576642157,admit_all_memory_gated,0.0,3953.5247144592913,False,7,2665.4708760633666,49206.43543814712
4298.29042592468,31.220051373185925,4267.070374551494,10863.482014789273,4782.526440847104,6596.4116402377795,admit_all_memory_gated,0.0,3899.720712801244,False,8,2665.4708760633666,49267.07037455149
4674.91843753101,42.48395671518847,4632.434480815821,11559.691834946694,4782.526440847104,6927.257354130873,admit_all_memory_gated,0.0,4192.400520523311,False,9,2692.37287689239,49632.43448081582
4674.91843753101,22.317171910282923,4652.601265620727,11559.691834946694,5502.609941917793,6907.090569325967,admit_all_memory_gated,0.0,4192.400520523311,False,10,2692.37287689239,49652.601265620724
