base_request_id,field_correct,generation_ms,hard_stage,mode,observed,ready,ready_count,request,request_index,required_count,stage_index,steps,variant
0,"{'city': True, 'date': True, 'priority': True}",1450.8287920616567,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,128,all_high
0,"{'airport': True, 'sla': True, 'date': True}",1574.6471739839762,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,128,all_high
0,{'dispatch': True},1483.878392027691,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,128,all_high
0,"{'city': True, 'date': True, 'priority': True}",485.17415998503566,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,16,all_low
0,"{'airport': True, 'sla': True, 'date': True}",561.9208510033786,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,16,all_low
0,{'dispatch': True},510.20855992101133,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,16,all_low
0,"{'city': True, 'date': True, 'priority': True}",485.0170239806175,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,16,low_stage_0
0,"{'airport': True, 'sla': True, 'date': True}",1579.861453967169,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,1,128,low_stage_0
0,{'dispatch': True},1484.5835319720209,0,chained,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,0,1,2,128,low_stage_0
0,"{'city': True, 'date': True, 'priority': True}",1455.778994015418,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,0,3,0,128,low_stage_1
