args_correct,detected_tool,generation_ms,num_stages,prompt,ready,request_index,stage_index,steps,target_args,target_tool,tool_correct
True,flight_search,2993.5195449506864,3,"Prepare for the Seoul visit: find flights from DFW to FCO on 2026-01-03, check weather in Seoul on 2026-01-01, and check weather in Rome on 2026-01-03.",True,0,0,128,"{""date"": ""2026-01-03"", ""destination"": ""FCO"", ""origin"": ""DFW""}",flight_search,True
True,flight_search,1135.9534310176969,3,"Prepare for the Seoul visit: find flights from DFW to FCO on 2026-01-03, check weather in Seoul on 2026-01-01, and check weather in Rome on 2026-01-03.",True,0,0,32,"{""date"": ""2026-01-03"", ""destination"": ""FCO"", ""origin"": ""DFW""}",flight_search,True
True,weather,2193.6574790161103,3,"Prepare for the Seoul visit: find flights from DFW to FCO on 2026-01-03, check weather in Seoul on 2026-01-01, and check weather in Rome on 2026-01-03.",True,0,1,128,"{""date"": ""2026-01-01"", ""location"": ""Seoul""}",weather,True
True,weather,1135.8644330175593,3,"Prepare for the Seoul visit: find flights from DFW to FCO on 2026-01-03, check weather in Seoul on 2026-01-01, and check weather in Rome on 2026-01-03.",True,0,1,32,"{""date"": ""2026-01-01"", ""location"": ""Seoul""}",weather,True
False,weather,2194.3602649262175,3,"Prepare for the Seoul visit: find flights from DFW to FCO on 2026-01-03, check weather in Seoul on 2026-01-01, and check weather in Rome on 2026-01-03.",False,0,2,128,"{""date"": ""2026-01-03"", ""location"": ""Rome""}",weather,True
False,weather,1136.4520720671862,3,"Prepare for the Seoul visit: find flights from DFW to FCO on 2026-01-03, check weather in Seoul on 2026-01-01, and check weather in Rome on 2026-01-03.",False,0,2,32,"{""date"": ""2026-01-03"", ""location"": ""Rome""}",weather,True
True,flight_search,2305.3305100183934,3,"Plan the Tokyo trip: find flights from JFK to BER on 2027-06-10, list ops calendar events from 2027-06-08 to 2027-06-10 with keyword interview, and find flights from DFW to NRT on 2027-06-07.",True,1,0,128,"{""date"": ""2027-06-10"", ""destination"": ""BER"", ""origin"": ""JFK""}",flight_search,True
True,flight_search,1145.0611690524966,3,"Plan the Tokyo trip: find flights from JFK to BER on 2027-06-10, list ops calendar events from 2027-06-08 to 2027-06-10 with keyword interview, and find flights from DFW to NRT on 2027-06-07.",True,1,0,32,"{""date"": ""2027-06-10"", ""destination"": ""BER"", ""origin"": ""JFK""}",flight_search,True
True,calendar_api,2210.626592976041,3,"Plan the Tokyo trip: find flights from JFK to BER on 2027-06-10, list ops calendar events from 2027-06-08 to 2027-06-10 with keyword interview, and find flights from DFW to NRT on 2027-06-07.",True,1,1,128,"{""calendar"": ""ops"", ""end_date"": ""2027-06-10"", ""keyword"": ""interview"", ""start_date"": ""2027-06-08""}",calendar_api,True
True,calendar_api,1145.7288089441136,3,"Plan the Tokyo trip: find flights from JFK to BER on 2027-06-10, list ops calendar events from 2027-06-08 to 2027-06-10 with keyword interview, and find flights from DFW to NRT on 2027-06-07.",True,1,1,32,"{""calendar"": ""ops"", ""end_date"": ""2027-06-10"", ""keyword"": ""interview"", ""start_date"": ""2027-06-08""}",calendar_api,True
