request_id,cache_mode,block,inner_step,progress,distance_to_boundary_steps,distance_to_boundary_ms,immediate_strategy,immediate_recovery_ms,boundary_wait_ms,boundary_checkpoint_bytes,boundary_resume_ms,total_boundary_cost_ms,winner,median_iteration_ms,repetition
shape0_p25_g128,prefix,0,1,0.0078125,31,1094.7644249827135,full_offload_pinned,2.9222879820736125,1094.7644249827135,1224,7.243789965286851,1102.0082149480004,immediate,32.65765099786222,0
shape0_p25_g128,prefix,0,1,0.0078125,31,1094.3345029954799,full_offload_pinned,2.9222879820736125,1094.3345029954799,1224,6.353709934046492,1100.6882129295263,immediate,32.65765099786222,1
shape0_p25_g128,prefix,0,1,0.0078125,31,1095.033692981815,full_offload_pinned,2.9222879820736125,1095.033692981815,1224,6.354862998705357,1101.3885559805203,immediate,32.65765099786222,2
shape0_p25_g128,prefix,0,1,0.0078125,31,1095.085360982921,full_offload_pinned,2.9222879820736125,1095.085360982921,1224,6.406739994417876,1101.4921009773389,immediate,32.65765099786222,3
shape0_p25_g128,prefix,0,1,0.0078125,31,1095.2391710015945,full_offload_pinned,2.9222879820736125,1095.2391710015945,1224,6.395609030732885,1101.6347800323274,immediate,32.65765099786222,4
shape0_p25_g128,prefix,0,1,0.0078125,31,1095.6962350173853,full_offload_pinned,2.9222879820736125,1095.6962350173853,1224,6.407502020010725,1102.103737037396,immediate,32.65765099786222,5
shape0_p25_g128,prefix,0,1,0.0078125,31,1095.7340960158035,full_offload_pinned,2.9222879820736125,1095.7340960158035,1224,6.394425989128649,1102.1285220049322,immediate,32.65765099786222,6
shape0_p25_g128,prefix,0,1,0.0078125,31,1095.7146089931484,full_offload_pinned,2.9222879820736125,1095.7146089931484,1224,6.405227002687752,1102.1198359958362,immediate,32.65765099786222,7
shape0_p25_g128,prefix,0,1,0.0078125,31,1095.8958720148075,full_offload_pinned,2.9222879820736125,1095.8958720148075,1224,6.390078080585226,1102.2859500953928,immediate,32.65765099786222,8
shape0_p25_g128,prefix,0,1,0.0078125,31,1095.8883269922808,full_offload_pinned,2.9222879820736125,1095.8883269922808,1224,6.422980019124225,1102.311307011405,immediate,32.65765099786222,9
