action_ready_fraction,action_ready_step,answer_right_changed_fraction,answer_tokens,changed_answer_tokens,estimated_action_ready_ms,full_right_changed_fraction,generated_tokens,has_no_answer_label,has_no_result_label,has_with_answer_label,has_with_result_label,no_result_action_ready,no_result_elapsed_ms,oracle_remask_fraction_of_output,oracle_remask_fraction_of_result_answer,oracle_remask_tokens,prefix_right_changed_fraction,request_index,result_right_changed_fraction,result_tokens,target_tool,with_result_elapsed_ms,with_result_success
0.14814814814814814,4,0.37037037037037035,27,10,419.61633363152265,0.2835820895522388,67,True,True,True,True,True,2832.410252012778,0.29850746268656714,0.5405405405405406,20,0.0,0,0.9,10,weather,1756.8089329870418,True
0.13513513513513514,5,1.0,26,26,395.6010031067087,0.5303030303030303,66,True,True,True,True,True,2927.447422989644,0.5454545454545454,1.0,36,0.0,1,0.9,10,weather,1754.0429100045003,True
0.14285714285714285,5,1.0,26,26,396.95960514446983,0.5303030303030303,66,True,True,True,True,True,2778.717236011289,0.5454545454545454,1.0,36,0.0,2,0.9,10,weather,1842.3755419789813,True
0.1891891891891892,7,1.0,28,28,557.4547994324963,0.5441176470588235,68,True,True,True,True,True,2946.5467970003374,0.5588235294117647,1.0,38,0.0,3,0.9,10,weather,1610.6417960254475,True
0.16,4,0.34615384615384615,26,9,320.5576836783439,0.25757575757575757,66,True,True,True,True,True,2003.4855229896493,0.2727272727272727,0.5142857142857142,18,0.0,4,0.8888888888888888,9,weather,1770.630850980524,True
0.08823529411764706,3,1.0,23,23,241.06498103013593,0.5373134328358209,67,True,True,True,True,True,2732.069785008207,0.5522388059701493,1.0,37,0.0,5,0.9285714285714286,14,crm_api,1789.3488359986804,True
0.11538461538461539,3,0.5454545454545454,11,6,241.5524326184263,0.35185185185185186,54,True,True,True,True,True,2093.4544160263613,0.37037037037037035,0.8,20,0.0,6,0.9285714285714286,14,crm_api,1710.5540529591963,True
0.09375,3,1.0,13,13,242.77029140648665,0.44642857142857145,56,True,True,True,True,True,2589.5497750025243,0.4642857142857143,1.0,26,0.0,7,0.9230769230769231,13,crm_api,1636.8575469823554,True
0.3,6,0.8571428571428571,21,18,497.4118782032747,0.4270833333333333,96,True,True,True,True,True,1658.0395940109156,0.4375,0.9333333333333333,42,0.0,8,0.9583333333333334,24,calendar_api,2181.0407580342144,True
0.2777777777777778,5,0.8636363636363636,22,19,416.3040038838517,0.42857142857142855,98,True,True,True,True,True,1498.694413981866,0.4387755102040816,0.9347826086956522,43,0.0,9,0.9583333333333334,24,calendar_api,2711.9968439801596,True
