ar_call_ready_spread_ms,ar_first_call_ms,ar_last_call_ms,dllm_call_ready_spread_ms,dllm_first_call_ms,dllm_last_call_ms,generation_ms,num_calls,request_index
947.1366733390217,473.5683366695108,1420.7050100085326,473.5683366695108,473.5683366695108,947.1366733390216,1420.7050100085326,3,0
534.7079011345548,401.0309258509161,935.738826985471,401.0309258509161,401.0309258509161,802.0618517018322,935.738826985471,3,1
527.134559219121,175.711519739707,702.846078958828,351.423039479414,263.5672796095605,614.9903190889745,702.846078958828,3,2
394.787648653922,197.39382432696098,592.181472980883,296.0907364904415,197.39382432696098,493.4845608174025,592.181472980883,3,3
394.23714201742166,197.1185710087108,591.3557130261324,295.6778565130662,197.1185710087108,492.79642752177705,591.3557130261324,3,4
463.89381858586734,185.55752743434692,649.4513460202143,278.33629115152036,278.33629115152036,556.6725823030407,649.4513460202143,3,5
291.9781419914216,291.9781419914216,583.9562839828432,194.6520946609477,194.6520946609477,389.3041893218954,583.9562839828432,3,6
292.1548555023037,292.1548555023037,584.3097110046074,292.1548555023037,194.76990366820246,486.92475917050615,584.3097110046074,3,7
397.59099134244025,198.79549567122012,596.3864870136604,198.79549567122012,298.1932435068302,496.9887391780503,596.3864870136604,3,8
361.75523545326934,271.31642658995196,633.0716620432213,90.43880886331732,271.31642658995196,361.7552354532693,633.0716620432213,3,9
389.6914073266089,194.84570366330445,584.5371109899133,194.84570366330445,194.84570366330445,389.6914073266089,584.5371109899133,3,10
468.1565642905688,187.2626257162275,655.4191900067963,374.525251432455,187.2626257162275,561.7878771486825,655.4191900067963,3,11
294.5988575229421,294.5988575229421,589.1977150458843,196.3992383486281,294.5988575229421,490.99809587157023,589.1977150458843,3,12
453.73762429725116,181.49504971890045,635.2326740161516,272.24257457835074,181.49504971890045,453.73762429725116,635.2326740161516,3,13
293.8940614985768,293.8940614985768,587.7881229971536,293.89406149857683,195.9293743323845,489.82343583096133,587.7881229971536,3,14
443.30809247185243,265.98485548311146,709.2929479549639,354.64647397748195,265.98485548311146,620.6313294605934,709.2929479549639,3,15
463.7724678780485,185.50898715121937,649.2814550292678,278.2634807268291,278.2634807268291,556.5269614536581,649.2814550292678,3,16
360.345331453053,270.25899858978977,630.6043300428428,270.25899858978977,270.25899858978977,540.5179971795795,630.6043300428428,3,17
464.6933578520215,185.8773431408086,650.5707009928301,371.7546862816171,185.8773431408086,557.6320294224257,650.5707009928301,3,18
