ar_all_ready_fraction,ar_all_ready_step,ar_all_stable_fraction,ar_all_stable_step,ar_call_ready_spread,ar_call_stable_spread,ar_mean_call_ready_fraction,bias_strength,dllm_all_ready_fraction,dllm_all_ready_lead_fraction,dllm_all_ready_step,dllm_all_stable_fraction,dllm_all_stable_step,dllm_beats_ar_all_ready,dllm_call_ready_spread,dllm_call_stable_spread,dllm_mean_call_ready_fraction,final_all_ready,final_ready_count,generation_ms,num_calls,num_history_steps,oracle_action_position_count,prompt,prompt_format,request_index
1.0,7,1.0,7,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.0,0.5714285714285714,0.4285714285714286,4,0.5714285714285714,4,True,0.2857142857142857,0.2857142857142857,0.47619047619047616,True,3,1492.9935910040513,3,8,16,"Prepare for the Seoul visit: find flights from DFW to FCO on 2026-01-03, check weather in Seoul on 2026-01-01, and check weather in Rome on 2026-01-03.",action_list,0
1.0,7,1.0,7,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.0,0.8571428571428571,0.1428571428571429,6,0.8571428571428571,6,True,0.42857142857142855,0.42857142857142855,0.6666666666666666,True,3,958.4500669734553,3,8,25,"Plan the Tokyo trip: find flights from JFK to BER on 2027-06-10, list ops calendar events from 2027-06-08 to 2027-06-10 with keyword interview, and find flights from DFW to NRT on 2027-06-07.",action_list,1
1.0,8,1.0,8,0.625,0.625,0.7083333333333334,0.0,0.75,0.25,6,0.75,6,True,0.25,0.25,0.625,True,3,706.5718399826437,3,9,18,"Set up the Paris customer meeting: find flights from IAD to CDG on 2026-11-14, find flights from DFW to DXB on 2026-11-17, and check weather in Paris on 2026-11-15.",action_list,2
1.0,8,1.0,8,0.5,0.5,0.7083333333333334,0.0,0.75,0.25,6,0.75,6,True,0.375,0.375,0.625,True,3,722.4329259479418,3,9,18,"Organize the Austin project stop: find flights from JFK to BOS on 2027-04-24, check weather in Boston on 2027-04-24, and check weather in Austin on 2027-04-22.",action_list,3
1.0,6,1.0,6,0.6666666666666667,0.6666666666666667,0.7222222222222222,0.0,0.6666666666666666,0.33333333333333337,4,0.6666666666666666,4,True,0.3333333333333333,0.3333333333333333,0.5555555555555556,True,3,547.7698799804784,3,7,22,"Prepare the London partner update: check weather in Toronto on 2026-09-07, fetch CRM contacts at company SAP with role manager in city London, and check weather in London on 2026-09-05.",action_list,4
1.0,7,1.0,7,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.0,0.8571428571428571,0.1428571428571429,6,0.8571428571428571,6,True,0.42857142857142855,0.42857142857142855,0.6666666666666666,True,3,666.6676580207422,3,8,19,"Prepare for the Amsterdam visit: check weather in Amsterdam on 2027-02-12, find flights from JFK to SIN on 2027-02-14, and find flights from ATL to AMS on 2027-02-11.",action_list,5
1.0,9,1.0,9,0.5555555555555556,0.5555555555555556,0.7407407407407407,0.0,0.6666666666666666,0.33333333333333337,6,0.6666666666666666,6,True,0.3333333333333333,0.3333333333333333,0.5555555555555556,True,3,770.9126889822073,3,10,16,"Plan the Madrid trip: find flights from JFK to MAD on 2026-07-18, check weather in Sydney on 2026-07-21, and check weather in Madrid on 2026-07-19.",action_list,6
1.0,8,1.0,8,0.625,0.625,0.7083333333333334,0.0,0.75,0.25,6,0.75,6,True,0.5,0.5,0.5833333333333334,True,3,723.7971810391173,3,9,28,"Set up the Rome customer meeting: check weather in Zurich on 2027-12-04, find flights from BOS to FCO on 2027-12-01, and fetch CRM contacts at company Stripe with role director in city Rome.",action_list,7
1.0,7,1.0,7,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.0,0.8571428571428571,0.1428571428571429,6,0.8571428571428571,6,True,0.42857142857142855,0.42857142857142855,0.6666666666666666,True,3,673.3993489760906,3,8,34,"Organize the Berlin project stop: find flights from MIA to BER on 2026-05-08, fetch CRM contacts at company Toyota with role analyst in city Berlin, and list research calendar events from 2026-05-09 to 2026-05-11 with keyword interview.",action_list,8
1.0,8,1.0,8,0.625,0.625,0.7083333333333334,0.0,0.625,0.375,5,0.625,5,True,0.25,0.25,0.5416666666666666,True,3,713.884787983261,3,9,25,"Prepare the Dubai partner update: check weather in Dubai on 2027-10-16, find flights from LAX to DXB on 2027-10-15, and fetch CRM contacts at company Airbus with role recruiter in city Dubai.",action_list,9
