ar_false_starts,ar_ready_fraction,ar_ready_step,ar_stable_fraction,ar_stable_step,args,bias_strength,call_index,dllm_false_starts,dllm_ready_fraction,dllm_ready_step,dllm_stable_fraction,dllm_stable_step,final_ready,prompt_format,request_index,tool
0,0.5714285714285714,4,0.5714285714285714,4,"{""date"": ""2026-01-03"", ""destination"": ""FCO"", ""origin"": ""DFW""}",0.0,0,0,0.2857142857142857,2,0.2857142857142857,2,True,action_list,0,flight_search
0,1.0,7,1.0,7,"{""date"": ""2026-01-01"", ""location"": ""Seoul""}",0.0,1,0,0.7142857142857143,5,0.7142857142857143,5,True,action_list,0,weather
0,0.5,3,0.5,3,"{""date"": ""2027-06-08"", ""location"": ""Tokyo""}",0.0,0,0,0.3333333333333333,2,0.3333333333333333,2,True,action_list,1,weather
0,1.0,6,1.0,6,"{""calendar"": ""ops"", ""end_date"": ""2027-06-10"", ""keyword"": ""interview"", ""start_date"": ""2027-06-08""}",0.0,1,0,0.6666666666666666,4,0.6666666666666666,4,True,action_list,1,calendar_api
0,0.5555555555555556,5,0.5555555555555556,5,"{""date"": ""2026-11-14"", ""destination"": ""CDG"", ""origin"": ""IAD""}",0.0,0,0,0.3333333333333333,3,0.3333333333333333,3,True,action_list,2,flight_search
0,1.0,9,1.0,9,"{""date"": ""2026-11-17"", ""destination"": ""DXB"", ""origin"": ""DFW""}",0.0,1,0,0.6666666666666666,6,0.6666666666666666,6,True,action_list,2,flight_search
0,0.5714285714285714,4,0.5714285714285714,4,"{""date"": ""2027-04-21"", ""destination"": ""AUS"", ""origin"": ""SFO""}",0.0,0,0,0.42857142857142855,3,0.42857142857142855,3,True,action_list,3,flight_search
0,1.0,7,1.0,7,"{""date"": ""2027-04-22"", ""location"": ""Austin""}",0.0,1,0,0.7142857142857143,5,0.7142857142857143,5,True,action_list,3,weather
0,0.5714285714285714,4,0.5714285714285714,4,"{""date"": ""2026-09-07"", ""destination"": ""YYZ"", ""origin"": ""DFW""}",0.0,0,0,0.42857142857142855,3,0.42857142857142855,3,True,action_list,4,flight_search
0,1.0,7,1.0,7,"{""date"": ""2026-09-07"", ""location"": ""Toronto""}",0.0,1,0,0.7142857142857143,5,0.7142857142857143,5,True,action_list,4,weather
0,0.5714285714285714,4,0.5714285714285714,4,"{""date"": ""2027-02-12"", ""location"": ""Amsterdam""}",0.0,0,0,0.42857142857142855,3,0.42857142857142855,3,True,action_list,5,weather
0,1.0,7,1.0,7,"{""date"": ""2027-02-14"", ""location"": ""Singapore""}",0.0,1,0,0.7142857142857143,5,0.7142857142857143,5,True,action_list,5,weather
0,0.6666666666666666,4,0.6666666666666666,4,"{""city"": ""Madrid"", ""company"": ""NVIDIA"", ""role"": ""coordinator""}",0.0,0,0,0.3333333333333333,2,0.3333333333333333,2,True,action_list,6,crm_api
0,1.0,6,1.0,6,"{""date"": ""2026-07-19"", ""location"": ""Madrid""}",0.0,1,0,0.6666666666666666,4,0.6666666666666666,4,True,action_list,6,weather
0,0.5,5,0.5,5,"{""date"": ""2027-12-02"", ""location"": ""Rome""}",0.0,0,0,0.3,3,0.3,3,True,action_list,7,weather
0,1.0,10,1.0,10,"{""date"": ""2027-12-04"", ""destination"": ""ZRH"", ""origin"": ""JFK""}",0.0,1,0,0.7,7,0.7,7,True,action_list,7,flight_search
0,0.5,4,0.5,4,"{""date"": ""2026-05-08"", ""destination"": ""BER"", ""origin"": ""MIA""}",0.0,0,0,0.375,3,0.375,3,True,action_list,8,flight_search
0,1.0,8,1.0,8,"{""date"": ""2026-05-11"", ""destination"": ""ORD"", ""origin"": ""DFW""}",0.0,1,0,0.75,6,0.75,6,True,action_list,8,flight_search
0,0.5714285714285714,4,0.5714285714285714,4,"{""date"": ""2027-10-18"", ""location"": ""New York""}",0.0,0,0,0.2857142857142857,2,0.2857142857142857,2,True,action_list,9,weather
0,1.0,7,1.0,7,"{""date"": ""2027-10-18"", ""destination"": ""JFK"", ""origin"": ""SFO""}",0.0,1,0,0.7142857142857143,5,0.7142857142857143,5,True,action_list,9,flight_search
0,0.5,4,0.5,4,"{""date"": ""2026-03-23"", ""location"": ""Boston""}",0.0,0,0,0.375,3,0.375,3,True,action_list,10,weather
0,1.0,8,1.0,8,"{""date"": ""2026-03-25"", ""location"": ""San Francisco""}",0.0,1,0,0.75,6,0.75,6,True,action_list,10,weather
